#,Question
6,With what ESG rating will a company be excluded by the MSCI Select ESG Screened Indexes?
7,With what controversy score in what industry will a company be included by the MSCI Select ESG Screened Indexes?
8,What’s the exclusion rule of the MSCI Select ESG Screened Indexes regarding nuclear power?
9,What’s the exclusion rule of the MSCI Select ESG Screened Indexes regarding fossil fuel/nuclear energy power 
10,What’s the exclusion rule of the MSCI Select ESG Screened Indexes regarding thermal coal mining?
11,What’s the exclusion rule of the MSCI Select ESG Screened Indexes regarding thermal coal power?
12,What’s the exclusion rule of the MSCI Select ESG Screened Indexes regarding unconventional oil & gas extraction?
13,What’s the exclusion rule of the MSCI Select ESG Screened Indexes regarding conventional oil & gas extraction?
14,What’s the exclusion rule of the MSCI Select ESG Screened Indexes regarding oil and gas services?
15,What’s the exclusion rule of the MSCI Select ESG Screened Indexes regarding oil & gas power?
16,What’s the exclusion rule of the MSCI Select ESG Screened Indexes regarding fossil fuel reserves?
17,What additional carbon emissions removals does the MSCI Select ESG Screened Indexes intend to have?
18,What’s the exclusion rule of the MSCI Select ESG Screened Indexes regarding tobacco?
19,What’s the exclusion rule of the MSCI Select ESG Screened Indexes regarding alcohol?
20,What’s the exclusion rule of the MSCI Select ESG Screened Indexes regarding gambling?
21,What’s the exclusion rule of the MSCI Select ESG Screened Indexes regarding adult entertainment?
22,What’s the exclusion rule of the MSCI Select ESG Screened Indexes regarding palm oil?
23,What’s the exclusion rule of the MSCI Select ESG Screened Indexes regarding genetically modified organism?
24,What’s the exclusion rule of the MSCI Select ESG Screened Indexes regarding conventional weapons?
25,What’s the exclusion rule of the MSCI Select ESG Screened Indexes regarding controversial weapons?
26,What’s the exclusion rule of the MSCI Select ESG Screened Indexes regarding nuclear weapons?
27,What’s the exclusion rule of the MSCI Select ESG Screened Indexes regarding civilian firearms?
Accuracy ,
